ArticleCode,StorageAreaCode,MinQuantity,MaxQuantity,MaxCapacity
A0001,A0001,1,3,3
A0002,A0006,1,5,5
A0003,A0003,1,20,20
A0004,A0001,1,10,10
A0005,A0002,1,3,3
A0006,A0006,1,2,2
A0007,A0006,1,2,2
A0008,A0001,1,100,100
A0009,A0004,1,5,5
A0010,A0003,4,6,6
A0011,A0006,1,2,2
A0012,A0006,1,5,5
A0013,A0002,1,100,100
A0014,A0006,6,10,10
A0015,A0006,1,2,2
A0016,A0004,21,40,40
A0017,A0001,1,10,10
A0018,A0004,4,6,6
A0019,A0006,1,2,2
A0020,A0002,1,10,10
A0021,A0005,7,9,9
A0022,A0006,3,4,4
A0023,A0006,3,10,10
A0024,A0003,6,10,10
A0025,A0006,7,9,9
A0026,A0006,1,2,2
A0027,A0006,1,20,20
A0028,A0003,1,100,100
A0029,A0003,1,5,5
A0030,A0003,1,10,10
A0031,A0001,1,3,3
A0032,A0006,1,8,8
A0033,A0004,1,10,10
A0034,A0002,1,3,3
A0035,A0004,1,5,5
A0036,A0003,4,9,9
A0037,A0006,3,5,5
A0038,A0006,1,2,2
A0039,A0005,1,10,10
A0040,A0004,4,9,9
A0041,A0006,1,2,2
A0042,A0006,1,10,10
A0043,A0005,10,15,15
A0044,A0006,1,2,2
A0045,A0006,2,10,10
A0046,A0006,1,5,5
A0047,A0006,10,15,15
A0048,A0006,2,15,15
A0049,A0006,2,22,22
A0050,A0004,1,100,100
A0001,B0001,3,6,9
A0002,B0006,8,10,10
A0003,B0002,20,40,40
A0004,B0003,10,20,20
A0005,B0002,12,15,24
A0006,B0006,1,2,2
A0007,B0006,2,3,4
A0008,B0003,100,200,200
A0009,B0004,5,10,10
A0010,B0003,12,15,15
A0011,B0006,2,3,3
A0012,B0006,10,12,12
A0013,B0002,100,200,200
A0014,B0006,10,15,20
A0015,B0006,15,16,16
A0016,B0004,20,40,40
A0017,B0003,10,20,20
A0018,B0004,9,21,27
A0019,B0006,10,15,15
A0020,B0002,10,20,30
A0021,B0005,33,36,36
A0022,B0006,9,30,30
A0023,B0006,5,20,20
A0024,B0003,15,20,20
A0025,B0006,24,27,33
A0026,B0006,2,3,3
A0027,B0006,2,3,3
A0028,B0003,100,200,200
A0029,B0002,20,25,30
A0030,B0006,20,20,40
A0031,B0003,9,12,15
A0032,B0006,8,11,11
A0033,B0004,20,30,50
A0034,B0002,3,9,9
A0035,B0004,25,30,30
A0036,B0002,3,9,9
A0037,B0006,21,23,23
A0038,B0006,42,43,43
A0039,B0005,20,40,50
A0040,B0004,3,9,9
A0041,B0006,22,30,30
A0042,B0006,20,50,50
A0043,B0004,3,9,9
A0044,B0006,11,12,12
A0045,B0006,2,3,3
A0046,B0006,30,35,40
A0047,B0006,3,9,9
A0048,B0006,2,3,3
A0049,B0006,2,3,3
A0050,B0004,100,200,200
A0001,C0001,3,6,9
A0002,C0006,8,10,10
A0003,C0003,40,60,80
A0004,C0003,10,20,20
A0005,C0002,24,27,37
A0006,C0006,10,20,30
A0007,C0006,5,6,6
A0008,C0003,200,400,400
A0009,C0004,5,10,10
A0010,C0003,24,27,33
A0011,C0006,7,8,9
A0012,C0006,10,12,12
A0013,C0002,200,400,400
A0014,C0005,10,15,20
A0015,C0006,15,16,16
A0016,C0005,40,60,80
A0017,C0003,10,20,20
A0018,C0004,24,27,33
A0019,C0006,10,15,15
A0020,C0002,10,20,20
A0021,C0005,24,27,33
A0022,C0006,9,30,30
A0023,C0006,5,20,20
A0024,C0003,15,20,25
A0025,C0006,33,36,39
A0026,C0006,2,3,3
A0027,C0006,2,3,3
A0028,C0003,200,400,400
A0029,C0002,15,20,20
A0030,C0005,10,20,20
A0031,C0003,33,36,39
A0032,C0006,8,11,11
A0033,C0004,10,20,20
A0034,C0003,33,36,45
A0035,C0005,10,20,25
A0036,C0003,33,36,45
A0037,C0006,21,23,23
A0038,C0006,42,43,43
A0039,C0003,10,20,20
A0040,C0005,33,36,45
A0041,C0006,22,30,30
A0042,C0005,10,20,20
A0043,C0005,45,72,75
A0044,C0006,11,12,12
A0045,C0006,2,3,3
A0046,C0006,5,20,20
A0047,C0005,55,72,75
A0048,C0006,2,3,3
A0049,C0006,2,3,3
A0050,C0005,200,400,400